Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
01/01/2014, Pratipada - 26:13:46+, Purva Ashadha - 21:22:51,  ,  , 
02/01/2014, Dwitiya - 23:52:05, Uttara Ashadha - 19:42:18,  ,  , 
03/01/2014, Tritiya - 21:34:27, Shravana - 18:04:34,  ,  , 
04/01/2014, Chaturthi - 19:25:15, Dhanishtha - 16:34:34,  ,  , 
05/01/2014, Panchami - 17:29:03, Shatabhisha - 15:17:03,  ,  , 
06/01/2014, Shashthi - 15:49:55, Purva Bhadrapada - 14:15:42,  ,  , 
07/01/2014, Saptami - 14:32:45, Uttara Bhadrapada - 13:35:27,  ,  , 
08/01/2014, Ashtami - 13:40:53, Revati - 13:19:59,  ,  , 
09/01/2014, Navami - 13:16:59, Ashwini - 13:31:45,  ,  , 
10/01/2014, Dashami - 13:24:22, Bharani - 14:13:25,  ,  , 
11/01/2014, Ekadashi - 14:02:10, Krittika - 15:24:58,  ,  , 
12/01/2014, Dwadashi - 15:10:33, Rohini - 17:04:59,  ,  , 
13/01/2014, Trayodashi - 16:45:07, Mrigashirsha - 19:09:47,  ,  , 
14/01/2014, Chaturdashi - 18:40:15, Ardra - 21:33:55,  ,  , 
15/01/2014, Purnima - 20:48:24, Punarvasu - 24:09:08+,  ,  , 
16/01/2014, Pratipada - 22:59:11, Pushya - 26:45:35+,  ,  , 
17/01/2014, Dwitiya - 25:01:21+, Ashlesha - 29:12:43+,  ,  , 
18/01/2014, Tritiya - 26:46:38+, Magha - 31:22:37+,  ,  , 
19/01/2014, Chaturthi - 28:08:01+, Purva Phalguni - Full Night,  ,  , 
20/01/2014, Panchami - 29:00:35+, Purva Phalguni - 09:08:36,  ,  , 
21/01/2014, Shashthi - 29:22:12+, Uttara Phalguni - 10:26:29,  ,  , 
22/01/2014, Saptami - 29:12:53+, Hasta - 11:14:49,  ,  , 
23/01/2014, Ashtami - 28:34:13+, Chitra - 11:33:06,  ,  , 
24/01/2014, Navami - 27:28:07+, Swati - 11:23:26,  ,  , 
25/01/2014, Dashami - 25:58:39+, Vishakha - 10:48:17,  ,  , 
26/01/2014, Ekadashi - 24:10:01+, Anuradha - 09:51:19,  ,  , 
27/01/2014, Dwadashi - 22:06:05, Jyeshtha - 08:36:58,  , Mula - 31:09:15+, 
28/01/2014, Trayodashi - 19:51:27, Purva Ashadha - 29:32:56+,  ,  , 
29/01/2014, Chaturdashi - 17:30:38, Uttara Ashadha - 27:52:33+,  ,  , 
30/01/2014, Amavasya - 15:08:36, Shravana - 26:13:46+,  ,  , 
31/01/2014, Pratipada - 12:50:58, Dhanishtha - 24:41:39+,  ,  , 
01/02/2014, Dwitiya - 10:42:08, Shatabhisha - 23:20:37,  ,  , 
02/02/2014, Tritiya - 08:46:38, Purva Bhadrapada - 22:15:14, Chaturthi - 31:08:54+,  , 
03/02/2014, Panchami - 29:52:58+, Uttara Bhadrapada - 21:29:53,  ,  , 
04/02/2014, Shashthi - 29:02:31+, Revati - 21:08:15,  ,  , 
05/02/2014, Saptami - 28:40:54+, Ashwini - 21:13:42,  ,  , 
06/02/2014, Ashtami - 28:49:30+, Bharani - 21:48:20,  ,  , 
07/02/2014, Navami - 29:29:35+, Krittika - 22:53:02,  ,  , 
08/02/2014, Dashami - 30:39:11+, Rohini - 24:26:53+,  ,  , 
09/02/2014, Ekadashi - Full Night, Mrigashirsha - 26:26:14+,  ,  , 
10/02/2014, Ekadashi - 08:14:17, Ardra - 28:46:42+,  ,  , 
11/02/2014, Dwadashi - 10:09:57, Punarvasu - Full Night,  ,  , 
12/02/2014, Trayodashi - 12:17:35, Punarvasu - 07:19:59,  ,  , 
13/02/2014, Chaturdashi - 14:26:46, Pushya - 09:57:18,  ,  , 
14/02/2014, Purnima - 16:26:50, Ashlesha - 12:27:15,  ,  , 
15/02/2014, Pratipada - 18:08:58, Magha - 14:41:43,  ,  , 
16/02/2014, Dwitiya - 19:26:50, Purva Phalguni - 16:33:41,  ,  , 
17/02/2014, Tritiya - 20:15:52, Uttara Phalguni - 17:58:14,  ,  , 
18/02/2014, Chaturthi - 20:33:27, Hasta - 18:53:26,  ,  , 
19/02/2014, Panchami - 20:20:58, Chitra - 19:18:34,  ,  , 
20/02/2014, Shashthi - 19:38:26, Swati - 19:15:03,  ,  , 
21/02/2014, Saptami - 18:29:32, Vishakha - 18:45:31,  ,  , 
22/02/2014, Ashtami - 16:57:25, Anuradha - 17:53:19,  ,  , 
23/02/2014, Navami - 15:06:09, Jyeshtha - 16:42:39,  ,  , 
24/02/2014, Dashami - 13:00:07, Mula - 15:17:34,  ,  , 
25/02/2014, Ekadashi - 10:43:42, Purva Ashadha - 13:42:49,  ,  , 
26/02/2014, Dwadashi - 08:21:30, Uttara Ashadha - 12:02:59, Trayodashi - 29:58:25+,  , 
27/02/2014, Chaturdashi - 27:40:05+, Shravana - 10:23:08,  ,  , 
28/02/2014, Amavasya - 25:30:42+, Dhanishtha - 08:49:16,  ,  , 
01/03/2014, Pratipada - 23:35:02, Shatabhisha - 07:25:04,  , Purva Bhadrapada - 30:16:00+, 
02/03/2014, Dwitiya - 21:57:18, Uttara Bhadrapada - 29:25:33+,  ,  , 
03/03/2014, Tritiya - 20:41:32, Revati - 28:57:57+,  ,  , 
04/03/2014, Chaturthi - 19:51:26, Ashwini - 28:57:14+,  ,  , 
05/03/2014, Panchami - 19:30:10, Bharani - 29:24:50+,  ,  , 
06/03/2014, Shashthi - 19:39:08, Krittika - 30:22:41+,  ,  , 
07/03/2014, Saptami - 20:19:23, Rohini - Full Night,  ,  , 
08/03/2014, Ashtami - 21:28:39, Rohini - 07:50:02,  ,  , 
09/03/2014, Navami - 23:03:13, Mrigashirsha - 09:43:56,  ,  , 
10/03/2014, Dashami - 24:58:00+, Ardra - 11:59:59,  ,  , 
11/03/2014, Ekadashi - 27:03:52+, Punarvasu - 14:31:10,  ,  , 
12/03/2014, Dwadashi - 29:10:36+, Pushya - 17:08:29,  ,  , 
13/03/2014, Trayodashi - Full Night, Ashlesha - 19:41:04,  ,  , 
14/03/2014, Trayodashi - 07:07:51, Magha - 21:59:45,  ,  , 
15/03/2014, Chaturdashi - 08:47:10, Purva Phalguni - 23:57:22,  ,  , 
16/03/2014, Purnima - 10:01:20, Uttara Phalguni - 25:28:36+,  ,  , 
17/03/2014, Pratipada - 10:47:03, Hasta - 26:30:28+,  ,  , 
18/03/2014, Dwitiya - 11:01:28, Chitra - 27:02:38+,  ,  , 
19/03/2014, Tritiya - 10:45:28, Swati - 27:05:16+,  ,  , 
20/03/2014, Chaturthi - 09:59:56, Vishakha - 26:41:53+,  ,  , 
21/03/2014, Panchami - 08:48:24, Anuradha - 25:54:15+,  ,  , 
22/03/2014, Shashthi - 07:13:28, Jyeshtha - 24:47:27+, Saptami - 29:19:55+,  , 
23/03/2014, Ashtami - 27:11:36+, Mula - 23:25:22,  ,  , 
24/03/2014, Navami - 24:53:26+, Purva Ashadha - 21:52:33,  ,  , 
25/03/2014, Dashami - 22:29:39, Uttara Ashadha - 20:13:15,  ,  , 
26/03/2014, Ekadashi - 20:05:09, Shravana - 18:32:52,  ,  , 
27/03/2014, Dwadashi - 17:45:14, Dhanishtha - 16:57:14,  ,  , 
28/03/2014, Trayodashi - 15:34:48, Shatabhisha - 15:30:35,  ,  , 
29/03/2014, Chaturdashi - 13:38:05, Purva Bhadrapada - 14:17:38,  ,  , 
30/03/2014, Amavasya - 11:59:17, Uttara Bhadrapada - 13:22:16,  ,  , 
31/03/2014, Pratipada - 10:42:07, Revati - 12:49:23,  ,  , 
01/04/2014, Dwitiya - 09:51:19, Ashwini - 12:42:11,  ,  , 
02/04/2014, Tritiya - 09:28:49, Bharani - 13:03:06,  ,  , 
03/04/2014, Chaturthi - 09:36:44, Krittika - 13:53:43,  ,  , 
04/04/2014, Panchami - 10:15:24, Rohini - 15:14:25,  ,  , 
05/04/2014, Shashthi - 11:23:26, Mrigashirsha - 17:02:42,  ,  , 
06/04/2014, Saptami - 12:56:15, Ardra - 19:14:11,  ,  , 
07/04/2014, Ashtami - 14:48:45, Punarvasu - 21:42:32,  ,  , 
08/04/2014, Navami - 16:52:19, Pushya - 24:19:31+,  ,  , 
09/04/2014, Dashami - 18:56:57, Ashlesha - 26:54:01+,  ,  , 
10/04/2014, Ekadashi - 20:51:33, Magha - 29:16:35+,  ,  , 
11/04/2014, Dwadashi - 22:27:53, Purva Phalguni - Full Night,  ,  , 
12/04/2014, Trayodashi - 23:39:36, Purva Phalguni - 07:19:27,  ,  , 
13/04/2014, Chaturdashi - 24:22:40+, Uttara Phalguni - 08:57:22,  ,  , 
