Start-Time: 05/09/2015 10:38:45

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
01/01/2016, Sapthami upto  09:08, Uthiram upto  07:57,  ,  , 
02/01/2016, Astami upto  11:52, Hastham upto  11:05,  ,  , 
03/01/2016, Navami upto  14:28, Chithirai upto  14:07,  ,  , 
04/01/2016, Thasami upto  16:43, Swathi upto  16:47,  ,  , 
05/01/2016, Egadashi upto  18:23, Visakam upto  18:56,  ,  , 
06/01/2016, Duvadasi upto  19:24, Anusham upto  20:27,  ,  , 
07/01/2016, Thirayodasi upto  19:43, Kettai upto  21:17,  ,  , 
08/01/2016, Sathuradasi upto  19:23, Moolam upto  21:31,  ,  , 
09/01/2016, Amavasai upto  18:30, Pooradam upto  21:12,  ,  , 
10/01/2016, Pirathamai upto  17:09, Uthiradam upto  20:27,  ,  , 
11/01/2016, Thuthiyai upto  15:29, Thiruvonam upto  19:24,  ,  , 
12/01/2016, Thiruthiyai upto  13:36, Avittam upto  18:10,  ,  , 
13/01/2016, Sathurthi upto  11:35, Sathayam upto  16:48,  ,  , 
14/01/2016, Panjami upto  09:31, Poorattathi upto  15:25, Shasti upto  31:27+,  , 
15/01/2016, Sapthami upto  29:25+, Uthirattathi upto  14:03,  ,  , 
16/01/2016, Astami upto  27:27+, Revathi upto  12:43,  ,  , 
17/01/2016, Navami upto  25:35+, Aswini upto  11:27,  ,  , 
18/01/2016, Thasami upto  23:49, Bharani upto  10:18,  ,  , 
19/01/2016, Egadashi upto  22:13, Karthigai upto  09:15,  ,  , 
20/01/2016, Duvadasi upto  20:49, Rohini upto  08:24,  ,  , 
21/01/2016, Thirayodasi upto  19:44, Mirugasirisham upto  07:47,  , Thiruvathirai upto  31:30+, 
22/01/2016, Sathuradasi upto  19:00, Punarpoosam upto Full Night,  ,  , 
23/01/2016, Pournami upto  18:45, Punarpoosam upto  07:37,  ,  , 
24/01/2016, Pirathamai upto  19:02, Poosam upto  08:14,  ,  , 
25/01/2016, Thuthiyai upto  19:55, Ayilyam upto  09:24,  ,  , 
26/01/2016, Thiruthiyai upto  21:25, Magam upto  11:09,  ,  , 
27/01/2016, Sathurthi upto  23:27, Pooram upto  13:28,  ,  , 
28/01/2016, Panjami upto  25:54+, Uthiram upto  16:13,  ,  , 
29/01/2016, Shasti upto  28:34+, Hastham upto  19:15,  ,  , 
30/01/2016, Sapthami upto  31:13+, Chithirai upto  22:22,  ,  , 
31/01/2016, Astami upto Full Night, Swathi upto  25:16+,  ,  , 
01/02/2016, Astami upto  09:35, Visakam upto  27:46+,  ,  , 
02/02/2016, Navami upto  11:26, Anusham upto  29:39+,  ,  , 
03/02/2016, Thasami upto  12:36, Kettai upto  30:48+,  ,  , 
04/02/2016, Egadashi upto  13:00, Moolam upto  31:13+,  ,  , 
05/02/2016, Duvadasi upto  12:38, Pooradam upto  30:55+,  ,  , 
06/02/2016, Thirayodasi upto  11:32, Uthiradam upto  29:59+,  ,  , 
07/02/2016, Sathuradasi upto  09:50, Thiruvonam upto  28:33+,  ,  , 
08/02/2016, Amavasai upto  07:38, Avittam upto  26:46+, Pirathamai upto  29:06+,  , 
09/02/2016, Thuthiyai upto  26:21+, Sathayam upto  24:45+,  ,  , 
10/02/2016, Thiruthiyai upto  23:32, Poorattathi upto  22:40,  ,  , 
11/02/2016, Sathurthi upto  20:46, Uthirattathi upto  20:37,  ,  , 
12/02/2016, Panjami upto  18:09, Revathi upto  18:43,  ,  , 
13/02/2016, Shasti upto  15:46, Aswini upto  17:03,  ,  , 
14/02/2016, Sapthami upto  13:41, Bharani upto  15:40,  ,  , 
15/02/2016, Astami upto  11:56, Karthigai upto  14:39,  ,  , 
16/02/2016, Navami upto  10:34, Rohini upto  14:00,  ,  , 
17/02/2016, Thasami upto  09:36, Mirugasirisham upto  13:44,  ,  , 
18/02/2016, Egadashi upto  09:03, Thiruvathirai upto  13:54,  ,  , 
19/02/2016, Duvadasi upto  08:56, Punarpoosam upto  14:28,  ,  , 
20/02/2016, Thirayodasi upto  09:16, Poosam upto  15:30,  ,  , 
21/02/2016, Sathuradasi upto  10:04, Ayilyam upto  16:58,  ,  , 
22/02/2016, Pournami upto  11:19, Magam upto  18:52,  ,  , 
23/02/2016, Pirathamai upto  13:02, Pooram upto  21:12,  ,  , 
24/02/2016, Thuthiyai upto  15:08, Uthiram upto  23:54,  ,  , 
25/02/2016, Thiruthiyai upto  17:34, Hastham upto  26:52+,  ,  , 
26/02/2016, Sathurthi upto  20:12, Chithirai upto  29:58+,  ,  , 
27/02/2016, Panjami upto  22:50, Swathi upto Full Night,  ,  , 
