Start-Time: 13/09/2017 09:28:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
01/01/2018, Pournami upto  20:07, Thiruvathirai upto  24:41+,  ,  , 
02/01/2018, Pirathamai upto  17:46, Punarpoosam upto  23:03,  ,  , 
03/01/2018, Thuthiyai upto  15:31, Poosam upto  21:31,  ,  , 
04/01/2018, Thiruthiyai upto  13:26, Ayilyam upto  20:10,  ,  , 
05/01/2018, Sathurthi upto  11:36, Magam upto  19:05,  ,  , 
06/01/2018, Panjami upto  10:05, Pooram upto  18:21,  ,  , 
07/01/2018, Shasti upto  08:58, Uthiram upto  18:00,  ,  , 
08/01/2018, Sapthami upto  08:16, Hastham upto  18:06,  ,  , 
09/01/2018, Astami upto  08:04, Chithirai upto  18:42,  ,  , 
10/01/2018, Navami upto  08:23, Swathi upto  19:47,  ,  , 
11/01/2018, Thasami upto  09:14, Visakam upto  21:22,  ,  , 
12/01/2018, Egadashi upto  10:33, Anusham upto  23:22,  ,  , 
13/01/2018, Duvadasi upto  12:16, Kettai upto  25:43+,  ,  , 
14/01/2018, Thirayodasi upto  14:17, Moolam upto  28:16+,  ,  , 
15/01/2018, Sathuradasi upto  16:28, Pooradam upto  30:54+,  ,  , 
16/01/2018, Amavasai upto  18:37, Uthiradam upto Full Night,  ,  , 
17/01/2018, Pirathamai upto  20:33, Uthiradam upto  09:23,  ,  , 
18/01/2018, Thuthiyai upto  22:10, Thiruvonam upto  11:37,  ,  , 
19/01/2018, Thiruthiyai upto  23:20, Avittam upto  13:29,  ,  , 
20/01/2018, Sathurthi upto  24:01+, Sathayam upto  14:52,  ,  , 
21/01/2018, Panjami upto  24:11+, Poorattathi upto  15:46,  ,  , 
22/01/2018, Shasti upto  23:50, Uthirattathi upto  16:11,  ,  , 
23/01/2018, Sapthami upto  23:00, Revathi upto  16:06,  ,  , 
24/01/2018, Astami upto  21:44, Aswini upto  15:36,  ,  , 
25/01/2018, Navami upto  20:07, Bharani upto  14:43,  ,  , 
26/01/2018, Thasami upto  18:12, Karthigai upto  13:32,  ,  , 
27/01/2018, Egadashi upto  16:03, Rohini upto  12:07,  ,  , 
28/01/2018, Duvadasi upto  13:45, Mirugasirisham upto  10:32,  ,  , 
29/01/2018, Thirayodasi upto  11:23, Thiruvathirai upto  08:52,  , Punarpoosam upto  31:12+, 
30/01/2018, Sathuradasi upto  09:03, Poosam upto  29:38+, Pournami upto  30:48+,  , 
31/01/2018, Pirathamai upto  28:44+, Ayilyam upto  28:15+,  ,  , 
01/02/2018, Thuthiyai upto  26:55+, Magam upto  27:06+,  ,  , 
02/02/2018, Thiruthiyai upto  25:25+, Pooram upto  26:16+,  ,  , 
03/02/2018, Sathurthi upto  24:19+, Uthiram upto  25:50+,  ,  , 
04/02/2018, Panjami upto  23:39, Hastham upto  25:49+,  ,  , 
05/02/2018, Shasti upto  23:29, Chithirai upto  26:18+,  ,  , 
06/02/2018, Sapthami upto  23:50, Swathi upto  27:17+,  ,  , 
07/02/2018, Astami upto  24:42+, Visakam upto  28:45+,  ,  , 
08/02/2018, Navami upto  26:03+, Anusham upto  30:40+,  ,  , 
09/02/2018, Thasami upto  27:47+, Kettai upto Full Night,  ,  , 
10/02/2018, Egadashi upto  29:48+, Kettai upto  08:56,  ,  , 
11/02/2018, Duvadasi upto Full Night, Moolam upto  11:28,  ,  , 
12/02/2018, Duvadasi upto  07:58, Pooradam upto  14:05,  ,  , 
13/02/2018, Thirayodasi upto  10:04, Uthiradam upto  16:37,  ,  , 
14/02/2018, Sathuradasi upto  11:58, Thiruvonam upto  18:55,  ,  , 
15/02/2018, Amavasai upto  13:32, Avittam upto  20:52,  ,  , 
16/02/2018, Pirathamai upto  14:39, Sathayam upto  22:23,  ,  , 
17/02/2018, Thuthiyai upto  15:15, Poorattathi upto  23:24,  ,  , 
18/02/2018, Thiruthiyai upto  15:22, Uthirattathi upto  23:55,  ,  , 
19/02/2018, Sathurthi upto  14:57, Revathi upto  23:57,  ,  , 
20/02/2018, Panjami upto  14:04, Aswini upto  23:33,  ,  , 
21/02/2018, Shasti upto  12:46, Bharani upto  22:44,  ,  , 
22/02/2018, Sapthami upto  11:05, Karthigai upto  21:37,  ,  , 
23/02/2018, Astami upto  09:08, Rohini upto  20:14, Navami upto  30:57+,  , 
24/02/2018, Thasami upto  28:38+, Mirugasirisham upto  18:41,  ,  , 
25/02/2018, Egadashi upto  26:15+, Thiruvathirai upto  17:02,  ,  , 
26/02/2018, Duvadasi upto  23:53, Punarpoosam upto  15:22,  ,  , 
27/02/2018, Thirayodasi upto  21:38, Poosam upto  13:46,  ,  , 
28/02/2018, Sathuradasi upto  19:33, Ayilyam upto  12:20,  ,  , 
01/03/2018, Pournami upto  17:44, Magam upto  11:07,  ,  , 
02/03/2018, Pirathamai upto  16:14, Pooram upto  10:13,  ,  , 
03/03/2018, Thuthiyai upto  15:08, Uthiram upto  09:41,  ,  , 
04/03/2018, Thiruthiyai upto  14:29, Hastham upto  09:34,  ,  , 
05/03/2018, Sathurthi upto  14:20, Chithirai upto  09:56,  ,  , 
06/03/2018, Panjami upto  14:41, Swathi upto  10:47,  ,  , 
07/03/2018, Shasti upto  15:33, Visakam upto  12:09,  ,  , 
08/03/2018, Sapthami upto  16:53, Anusham upto  13:58,  ,  , 
09/03/2018, Astami upto  18:37, Kettai upto  16:10,  ,  , 
10/03/2018, Navami upto  20:36, Moolam upto  18:39,  ,  , 
11/03/2018, Thasami upto  22:44, Pooradam upto  21:16,  ,  , 
12/03/2018, Egadashi upto  24:49+, Uthiradam upto  23:50,  ,  , 
13/03/2018, Duvadasi upto  26:40+, Thiruvonam upto  26:13+,  ,  , 
14/03/2018, Thirayodasi upto  28:10+, Avittam upto  28:15+,  ,  , 
15/03/2018, Sathuradasi upto  29:13+, Sathayam upto  29:52+,  ,  , 
16/03/2018, Amavasai upto  29:46+, Poorattathi upto Full Night,  ,  , 
17/03/2018, Pirathamai upto  29:49+, Poorattathi upto  06:59,  ,  , 
18/03/2018, Thuthiyai upto  29:21+, Uthirattathi upto  07:37,  ,  , 
19/03/2018, Thiruthiyai upto  28:25+, Revathi upto  07:46,  ,  , 
20/03/2018, Sathurthi upto  27:04+, Aswini upto  07:27,  ,  , 
21/03/2018, Panjami upto  25:22+, Bharani upto  06:44,  , Karthigai upto  29:41+, 
22/03/2018, Shasti upto  23:22, Rohini upto  28:22+,  ,  , 
23/03/2018, Sapthami upto  21:09, Mirugasirisham upto  26:51+,  ,  , 
24/03/2018, Astami upto  18:48, Thiruvathirai upto  25:12+,  ,  , 
25/03/2018, Navami upto  16:23, Punarpoosam upto  23:32,  ,  , 
26/03/2018, Thasami upto  14:00, Poosam upto  21:55,  ,  , 
27/03/2018, Egadashi upto  11:44, Ayilyam upto  20:26,  ,  , 
28/03/2018, Duvadasi upto  09:38, Magam upto  19:10,  ,  , 
29/03/2018, Thirayodasi upto  07:48, Pooram upto  18:11, Sathuradasi upto  30:17+,  , 
30/03/2018, Pournami upto  29:10+, Uthiram upto  17:33,  ,  , 
31/03/2018, Pirathamai upto  28:30+, Hastham upto  17:20,  ,  , 
01/04/2018, Thuthiyai upto  28:19+, Chithirai upto  17:36,  ,  , 
02/04/2018, Thiruthiyai upto  28:40+, Swathi upto  18:20,  ,  , 
