Start-Time: 28/09/2016 21:46:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
01/01/2017, Sathurthi upto  25:34+, Avittam upto  27:12+,  ,  , 
02/01/2017, Panjami upto  24:49+, Sathayam upto  27:02+,  ,  , 
03/01/2017, Shasti upto  23:38, Poorattathi upto  26:26+,  ,  , 
04/01/2017, Sapthami upto  22:04, Uthirattathi upto  25:29+,  ,  , 
05/01/2017, Astami upto  20:12, Revathi upto  24:14+,  ,  , 
06/01/2017, Navami upto  18:06, Aswini upto  22:46,  ,  , 
07/01/2017, Thasami upto  15:50, Bharani upto  21:10,  ,  , 
08/01/2017, Egadashi upto  13:29, Karthigai upto  19:29,  ,  , 
09/01/2017, Duvadasi upto  11:08, Rohini upto  17:50,  ,  , 
10/01/2017, Thirayodasi upto  08:52, Mirugasirisham upto  16:18, Sathuradasi upto  30:46+,  , 
11/01/2017, Pournami upto  28:55+, Thiruvathirai upto  14:58,  ,  , 
12/01/2017, Pirathamai upto  27:23+, Punarpoosam upto  13:53,  ,  , 
13/01/2017, Thuthiyai upto  26:13+, Poosam upto  13:08,  ,  , 
14/01/2017, Thiruthiyai upto  25:30+, Ayilyam upto  12:47,  ,  , 
15/01/2017, Sathurthi upto  25:15+, Magam upto  12:53,  ,  , 
16/01/2017, Panjami upto  25:32+, Pooram upto  13:28,  ,  , 
17/01/2017, Shasti upto  26:20+, Uthiram upto  14:34,  ,  , 
18/01/2017, Sapthami upto  27:36+, Hastham upto  16:08,  ,  , 
19/01/2017, Astami upto  29:18+, Chithirai upto  18:08,  ,  , 
20/01/2017, Navami upto  31:18+, Swathi upto  20:29,  ,  , 
21/01/2017, Thasami upto Full Night, Visakam upto  23:02,  ,  , 
22/01/2017, Thasami upto  09:28, Anusham upto  25:40+,  ,  , 
23/01/2017, Egadashi upto  11:37, Kettai upto  28:09+,  ,  , 
24/01/2017, Duvadasi upto  13:35, Moolam upto  30:23+,  ,  , 
25/01/2017, Thirayodasi upto  15:13, Pooradam upto Full Night,  ,  , 
26/01/2017, Sathuradasi upto  16:25, Pooradam upto  08:15,  ,  , 
27/01/2017, Amavasai upto  17:08, Uthiradam upto  09:39,  ,  , 
28/01/2017, Pirathamai upto  17:20, Thiruvonam upto  10:33,  ,  , 
29/01/2017, Thuthiyai upto  17:01, Avittam upto  10:58,  ,  , 
30/01/2017, Thiruthiyai upto  16:13, Sathayam upto  10:53,  ,  , 
31/01/2017, Sathurthi upto  14:59, Poorattathi upto  10:23,  ,  , 
01/02/2017, Panjami upto  13:23, Uthirattathi upto  09:31,  ,  , 
02/02/2017, Shasti upto  11:29, Revathi upto  08:20,  , Aswini upto  30:54+, 
03/02/2017, Sapthami upto  09:21, Bharani upto  29:19+, Astami upto  31:03+,  , 
04/02/2017, Navami upto  28:41+, Karthigai upto  27:39+,  ,  , 
05/02/2017, Thasami upto  26:20+, Rohini upto  26:00+,  ,  , 
06/02/2017, Egadashi upto  24:04+, Mirugasirisham upto  24:26+,  ,  , 
07/02/2017, Duvadasi upto  21:59, Thiruvathirai upto  23:02,  ,  , 
08/02/2017, Thirayodasi upto  20:08, Punarpoosam upto  21:53,  ,  , 
09/02/2017, Sathuradasi upto  18:37, Poosam upto  21:04,  ,  , 
10/02/2017, Pournami upto  17:28, Ayilyam upto  20:36,  ,  , 
11/02/2017, Pirathamai upto  16:46, Magam upto  20:36,  ,  , 
12/02/2017, Thuthiyai upto  16:33, Pooram upto  21:05,  ,  , 
13/02/2017, Thiruthiyai upto  16:51, Uthiram upto  22:03,  ,  , 
14/02/2017, Sathurthi upto  17:41, Hastham upto  23:31,  ,  , 
15/02/2017, Panjami upto  18:58, Chithirai upto  25:26+,  ,  , 
16/02/2017, Shasti upto  20:40, Swathi upto  27:42+,  ,  , 
17/02/2017, Sapthami upto  22:40, Visakam upto  30:13+,  ,  , 
18/02/2017, Astami upto  24:49+, Anusham upto Full Night,  ,  , 
19/02/2017, Navami upto  26:56+, Anusham upto  08:51,  ,  , 
20/02/2017, Thasami upto  28:51+, Kettai upto  11:23,  ,  , 
21/02/2017, Egadashi upto  30:26+, Moolam upto  13:41,  ,  , 
22/02/2017, Duvadasi upto Full Night, Pooradam upto  15:38,  ,  , 
23/02/2017, Duvadasi upto  07:34, Uthiradam upto  17:09,  ,  , 
24/02/2017, Thirayodasi upto  08:14, Thiruvonam upto  18:10,  ,  , 
25/02/2017, Sathuradasi upto  08:21, Avittam upto  18:42,  ,  , 
26/02/2017, Amavasai upto  07:59, Sathayam upto  18:44,  ,  , 
27/02/2017, Pirathamai upto  07:08, Poorattathi upto  18:20, Thuthiyai upto  29:51+,  , 
28/02/2017, Thiruthiyai upto  28:12+, Uthirattathi upto  17:32,  ,  , 
01/03/2017, Sathurthi upto  26:16+, Revathi upto  16:25,  ,  , 
02/03/2017, Panjami upto  24:05+, Aswini upto  15:02,  ,  , 
03/03/2017, Shasti upto  21:46, Bharani upto  13:29,  ,  , 
04/03/2017, Sapthami upto  19:23, Karthigai upto  11:50,  ,  , 
05/03/2017, Astami upto  17:00, Rohini upto  10:09,  ,  , 
