Start-Time: 05/11/2020 22:56:41

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
01/01/2021, Thiruthiyai upto 20:09, Poosam upto 07:51,  ,  , 
02/01/2021, Sathurthi upto 19:14, Ayilyam upto 07:46,  , Magam upto 31:15+, 
03/01/2021, Panjami upto 17:53, Pooram upto 30:21+,  ,  , 
04/01/2021, Shasti upto 16:12, Uthiram upto 29:10+,  ,  , 
05/01/2021, Sapthami upto 14:14, Hastham upto 27:44+,  ,  , 
06/01/2021, Astami upto 12:03, Chithirai upto 26:09+,  ,  , 
07/01/2021, Navami upto 09:44, Swathi upto 24:29+, Thasami upto 31:23+,  , 
08/01/2021, Egadashi upto 29:03+, Visakam upto 22:50,  ,  , 
09/01/2021, Duvadasi upto 26:51+, Anusham upto 21:16,  ,  , 
10/01/2021, Thirayodasi upto 24:50+, Kettai upto 19:53,  ,  , 
11/01/2021, Sathuradasi upto 23:06, Moolam upto 18:44,  ,  , 
12/01/2021, Amavasai upto 21:42, Pooradam upto 17:55,  ,  , 
13/01/2021, Pirathamai upto 20:42, Uthiradam upto 17:29,  ,  , 
14/01/2021, Thuthiyai upto 20:10, Thiruvonam upto 17:29,  ,  , 
15/01/2021, Thiruthiyai upto 20:08, Avittam upto 17:59,  ,  , 
16/01/2021, Sathurthi upto 20:36, Sathayam upto 18:58,  ,  , 
17/01/2021, Panjami upto 21:36, Poorattathi upto 20:27,  ,  , 
18/01/2021, Shasti upto 23:03, Uthirattathi upto 22:22,  ,  , 
19/01/2021, Sapthami upto 24:53+, Revathi upto 24:39+,  ,  , 
20/01/2021, Astami upto 26:58+, Aswini upto 27:11+,  ,  , 
21/01/2021, Navami upto 29:09+, Bharani upto 29:48+,  ,  , 
22/01/2021, Thasami upto 31:14+, Karthigai upto Full Night,  ,  , 
23/01/2021, Egadashi upto Full Night, Karthigai upto 08:20,  ,  , 
24/01/2021, Egadashi upto 09:05, Rohini upto 10:38,  ,  , 
25/01/2021, Duvadasi upto 10:34, Mirugasirisham upto 12:34,  ,  , 
26/01/2021, Thirayodasi upto 11:35, Thiruvathirai upto 14:04,  ,  , 
27/01/2021, Sathuradasi upto 12:06, Punarpoosam upto 15:04,  ,  , 
28/01/2021, Pournami upto 12:05, Poosam upto 15:35,  ,  , 
29/01/2021, Pirathamai upto 11:35, Ayilyam upto 15:36,  ,  , 
30/01/2021, Thuthiyai upto 10:36, Magam upto 15:11,  ,  , 
31/01/2021, Thiruthiyai upto 09:13, Pooram upto 14:23,  ,  , 
01/02/2021, Sathurthi upto 07:30, Uthiram upto 13:15, Panjami upto 29:30+,  , 
02/02/2021, Shasti upto 27:18+, Hastham upto 11:52,  ,  , 
03/02/2021, Sapthami upto 24:58+, Chithirai upto 10:19,  ,  , 
04/02/2021, Astami upto 22:35, Swathi upto 08:39,  , Visakam upto 30:59+, 
05/02/2021, Navami upto 20:16, Anusham upto 29:24+,  ,  , 
06/02/2021, Thasami upto 18:04, Kettai upto 27:58+,  ,  , 
07/02/2021, Egadashi upto 16:03, Moolam upto 26:46+,  ,  , 
08/02/2021, Duvadasi upto 14:20, Pooradam upto 25:51+,  ,  , 
09/02/2021, Thirayodasi upto 12:57, Uthiradam upto 25:20+,  ,  , 
10/02/2021, Sathuradasi upto 11:58, Thiruvonam upto 25:14+,  ,  , 
11/02/2021, Amavasai upto 11:28, Avittam upto 25:37+,  ,  , 
12/02/2021, Pirathamai upto 11:27, Sathayam upto 26:29+,  ,  , 
13/02/2021, Thuthiyai upto 11:57, Poorattathi upto 27:51+,  ,  , 
14/02/2021, Thiruthiyai upto 12:58, Uthirattathi upto 29:41+,  ,  , 
15/02/2021, Sathurthi upto 14:26, Revathi upto Full Night,  ,  , 
16/02/2021, Panjami upto 16:16, Revathi upto 07:54,  ,  , 
17/02/2021, Shasti upto 18:20, Aswini upto 10:22,  ,  , 
18/02/2021, Sapthami upto 20:30, Bharani upto 12:59,  ,  , 
19/02/2021, Astami upto 22:33, Karthigai upto 15:34,  ,  , 
20/02/2021, Navami upto 24:21+, Rohini upto 17:55,  ,  , 
21/02/2021, Thasami upto 25:46+, Mirugasirisham upto 19:57,  ,  , 
22/02/2021, Egadashi upto 26:44+, Thiruvathirai upto 21:33,  ,  , 
23/02/2021, Duvadasi upto 27:11+, Punarpoosam upto 22:40,  ,  , 
24/02/2021, Thirayodasi upto 27:07+, Poosam upto 23:18,  ,  , 
25/02/2021, Sathuradasi upto 26:33+, Ayilyam upto 23:26,  ,  , 
26/02/2021, Pournami upto 25:31+, Magam upto 23:06,  ,  , 
27/02/2021, Pirathamai upto 24:05+, Pooram upto 22:23,  ,  , 
28/02/2021, Thuthiyai upto 22:19, Uthiram upto 21:19,  ,  , 
01/03/2021, Thiruthiyai upto 20:17, Hastham upto 20:00,  ,  , 
02/03/2021, Sathurthi upto 18:03, Chithirai upto 18:28,  ,  , 
03/03/2021, Panjami upto 15:41, Swathi upto 16:50,  ,  , 
04/03/2021, Shasti upto 13:18, Visakam upto 15:09,  ,  , 
05/03/2021, Sapthami upto 10:57, Anusham upto 13:32,  ,  , 
06/03/2021, Astami upto 08:44, Kettai upto 12:04, Navami upto 30:44+,  , 
07/03/2021, Thasami upto 29:00+, Moolam upto 10:48,  ,  , 
08/03/2021, Egadashi upto 27:36+, Pooradam upto 09:49,  ,  , 
09/03/2021, Duvadasi upto 26:38+, Uthiradam upto 09:12,  ,  , 
10/03/2021, Thirayodasi upto 26:07+, Thiruvonam upto 09:00,  ,  , 
11/03/2021, Sathuradasi upto 26:06+, Avittam upto 09:16,  ,  , 
12/03/2021, Amavasai upto 26:37+, Sathayam upto 10:01,  ,  , 
13/03/2021, Pirathamai upto 27:37+, Poorattathi upto 11:17,  ,  , 
14/03/2021, Thuthiyai upto 29:04+, Uthirattathi upto 13:01,  ,  , 
15/03/2021, Thiruthiyai upto Full Night, Revathi upto 15:08,  ,  , 
16/03/2021, Thiruthiyai upto 06:53, Aswini upto 17:34,  ,  , 
17/03/2021, Sathurthi upto 08:56, Bharani upto 20:10,  ,  , 
18/03/2021, Panjami upto 11:03, Karthigai upto 22:46,  ,  , 
19/03/2021, Shasti upto 13:04, Rohini upto 25:11+,  ,  , 
20/03/2021, Sapthami upto 14:49, Mirugasirisham upto 27:18+,  ,  , 
21/03/2021, Astami upto 16:10, Thiruvathirai upto 29:01+,  ,  , 
22/03/2021, Navami upto 17:05, Punarpoosam upto 30:15+,  ,  , 
23/03/2021, Thasami upto 17:29, Poosam upto Full Night,  ,  , 
24/03/2021, Egadashi upto 17:22, Poosam upto 06:59,  ,  , 
25/03/2021, Duvadasi upto 16:44, Ayilyam upto 07:14,  ,  , 
26/03/2021, Thirayodasi upto 15:40, Magam upto 07:00,  , Pooram upto 30:22+, 
27/03/2021, Sathuradasi upto 14:12, Uthiram upto 29:23+,  ,  , 
28/03/2021, Pournami upto 12:23, Hastham upto 28:06+,  ,  , 
29/03/2021, Pirathamai upto 10:19, Chithirai upto 26:37+,  ,  , 
30/03/2021, Thuthiyai upto 08:03, Swathi upto 25:00+, Thiruthiyai upto 29:40+,  , 
31/03/2021, Sathurthi upto 27:14+, Visakam upto 23:19,  ,  , 
01/04/2021, Panjami upto 24:52+, Anusham upto 21:41,  ,  , 
02/04/2021, Shasti upto 22:38, Kettai upto 20:10,  ,  , 
03/04/2021, Sapthami upto 20:36, Moolam upto 18:51,  ,  , 
04/04/2021, Astami upto 18:51, Pooradam upto 17:48,  ,  , 
